NGC 1380 Data  -- sky=[11,15] apcor=0.572000 lamOIII=5038.29
#name     p KILL  x      y       ra         dec       PN-MAG   magerr1   mag5   magerr5    GAL     lambda   seeing aper FLUX-GAL V-DISP 
   CX1    C  . 214.43  142.86  54.11598  -34.9799     26.43   0.038     26.35   0.052     24.42     5038.06   0.75   3   2.18E-16  180.  8.67E-17
   CX4    C  . 228.93  407.11  54.11500  -34.9652     26.68   0.032     26.64   0.042     25.77     5033.68   0.75   3   2.52E-17  125.
   CX6    C  . 307.41  188.46  54.10967  -34.9774     26.74   0.040     26.69   0.049     25.06     5036.57   0.75   3   4.85E-17  155.
   CX8    C  . 201.58  307.81  54.11685  -34.9708     26.76   0.044     26.82   0.064     24.80     5037.54   0.75   3   6.12E-17  160.
   CX7    C  . 164.16  108.91  54.11939  -34.9818     26.77   0.036     26.79   0.049     25.55     5039.20   0.75   3   3.07E-17  130.
   CX9    C  . 171.29  137.41  54.11890  -34.9802     26.82   0.042     26.82   0.056     25.16     5033.94   0.75   3   4.40E-17  180.
  CX10    C  . 266.42  220.91  54.11245  -34.9756     26.82   0.073     26.89   0.107     23.84     5040.33   0.75   3   1.49E-16  180.
  CX13    C  . 258.80  218.51  54.11297  -34.9757     26.84   0.085     26.93   0.138     23.48     5036.74   0.75   3   2.06E-16  185.
  CX12    C  . 146.40  130.01  54.12059  -34.9806     26.93   0.038     26.93   0.052     25.66     5036.82   0.75   3   2.78E-17  145.
  CX38    C  . 251.49  399.86  54.11347  -34.9656     26.96   0.048     27.41   0.076     25.86     5041.31   0.75   3   2.32E-17  135.
  CX18    C  .  88.39  158.50  54.12452  -34.9790     26.97   0.039     26.97   0.050     26.50     5038.98   0.75   3   1.29E-17  150.
  CX16    C  . 204.96  126.76  54.11662  -34.9808     27.00   0.057     26.93   0.070     24.77     5042.06   0.75   3   6.28E-17  165.
 CX158    C  . 166.80  111.36  54.11921  -34.9817     27.02   0.045     27.13   0.066     25.49     5039.18   0.75   3   3.25E-17  145.
  CX24    C  . 278.09  210.26  54.11166  -34.9762     27.05   0.075     27.11   0.106     24.24     5041.56   0.75   3   1.03E-16  130.   ??
  CX22    C  . 182.04  279.26  54.11817  -34.9723     27.05   0.059     26.69   0.053     24.74     5034.45   0.75   3   6.50E-17  160,
  CX21    C  . 176.08  232.56  54.11858  -34.9749     27.06   0.066     27.16   0.086     24.53     5035.40   0.75   3   7.86E-17  160.
 CX116    C  . 247.61  289.71  54.11373  -34.9718     27.07   0.065     27.24   0.094     24.54     5034.72   0.75   3   7.80E-17  160.
 CX108    C  . 225.86  140.76  54.11520  -34.9800     27.07   0.071     26.99   0.097     24.35     5039.30   0.75   3   9.28E-17  180.
 CX119    C  . 280.61   91.96  54.11149  -34.9827     27.09   0.052     27.09   0.071     25.25     5042.77   0.75   3   4.05E-17  145.
  CX31    C  . 141.17  195.16  54.12095  -34.9770     27.11   0.051     27.17   0.067     25.42     5038.49   0.75   3   3.47E-17  155.
  CX29    C  . 270.48  333.36  54.11218  -34.9693     27.12   0.051     27.17   0.075     25.35     5035.08   0.75   3   3.71E-17  135.
  CX19    C  . 109.16  145.10  54.12312  -34.9798     27.13   0.043     27.09   0.057     26.26     5035.26   0.75   3   1.60E-17  135.
  CX57    C  . 168.83  162.96  54.11907  -34.9788     27.14   0.056     27.43   0.097     25.00     5034.29   0.75   3   5.09E-17  150.
  CX15    C  . 250.69  309.21  54.11352  -34.9707     27.16   0.064     27.01   0.069     24.84     5033.18   0.75   3   5.90E-17  155.
  CX27    C  . 230.10  385.06  54.11492  -34.9665     27.18   0.049     27.12   0.069     25.60     5035.00   0.75   3   2.95E-17  140.
  CX36    C  . 298.01  244.41  54.11031  -34.9743     27.19   0.062     27.14   0.083     24.96     5036.19   0.75   3   5.32E-17  150.
  CX39    C  X 195.99  220.11  54.11723  -34.9756     27.22   0.104     27.22   0.132     23.81     5044.94   0.75   3   1.53E-16  190.
  CX28    C  . 277.85  201.06  54.11168  -34.9767     27.26   0.087     26.85   0.080     24.23     5038.83   0.75   3   1.04E-16  160.
  CX34    C  . 279.20  299.96  54.11159  -34.9712     27.26   0.063     27.11   0.078     25.10     5033.00   0.75   3   4.67E-17  130.
  CX41    C  . 167.91  208.61  54.11913  -34.9763     27.26   0.070     27.34   0.098     24.76     5036.36   0.75   3   6.34E-17  160.
  CX25    C  . 218.91   31.46  54.11568  -34.9861     27.27   0.061     27.19   0.075     25.76     5037.76   0.75   3   2.53E-17  135.
 CX115    C  . 233.79  283.76  54.11467  -34.9721     27.28   0.085     27.34   0.123     24.33     5037.22   0.75   3   9.47E-17  180.
  CX30    C  . 280.98  127.51  54.11147  -34.9808     27.29   0.066     27.06   0.077     24.92     5039.19   0.75   3   5.52E-17  145.
  CX20    C  . 302.49  234.91  54.11001  -34.9748     27.29   0.069     27.03   0.066     25.01     5039.84   0.75   3   5.07E-17  150.
 CX105    C  . 222.60  380.01  54.11543  -34.9667     27.31   0.057     27.51   0.088     25.54     5036.47   0.75   3   3.12E-17  145.
  CX46    C  . 231.76  354.41  54.11480  -34.9682     27.31   0.062     27.42   0.097     25.28     5037.03   0.75   3   3.93E-17  140.
  CX33    C  . 259.17  265.16  54.11295  -34.9731     27.32   0.087     27.25   0.122     24.30     5042.06   0.75   3   9.73E-17  160.
  CX23    C  . 152.06  137.51  54.12021  -34.9802     27.35   0.059     27.21   0.066     25.52     5039.35   0.75   3   3.17E-17  130.
 CX118    C  . 272.01   95.91  54.11207  -34.9825     27.36   0.069     27.39   0.090     25.14     5040.97   0.75   3   4.50E-17  135.
  CX54    C  . 263.77  162.86  54.11263  -34.9788     27.37   0.095     27.40   0.147     24.22     5041.24   0.75   3   1.05E-16  155.
  CX50    C  . 156.41  288.46  54.11991  -34.9718     27.38   0.064     27.47   0.095     25.25     5037.42   0.75   3   4.05E-17  135.
  CX44    C  . 249.15   54.21  54.11362  -34.9848     27.38   0.065     27.36   0.082     25.44     5037.66   0.75   3   3.41E-17  150.
  CX43    C  . 177.98  257.96  54.11845  -34.9735     27.38   0.085     27.31   0.106     24.63     5037.43   0.75   3   7.16E-17  160.
  CX47    C  . 191.14   47.96  54.11756  -34.9852     27.41   0.073     27.46   0.087     25.79     5036.99   0.75   3   2.46E-17  130.
  CX55    C  . 169.20  153.96  54.11905  -34.9793     27.44   0.075     27.59   0.115     25.06     5034.38   0.75   3   4.83E-17  145.
 CX162    C  . 279.81  210.26  54.11155  -34.9762     27.44   0.104     27.41   0.130     24.30     5032.22   0.75   3   9.73E-17  165.
 CX103    C  . 186.34  395.21  54.11788  -34.9659     27.46   0.074     27.77   0.087     25.74     5036.88   0.75   3   2.59E-17  120.
  CX45    C  .  37.32  191.90  54.12799  -34.9772     27.46   0.053     27.33   0.044     27.04     5041.37   0.75   3   7.77E-18  140.
 CX110    C  . 248.29  246.21  54.11368  -34.9742     27.48   0.135     27.27   0.157     23.64     5036.46   0.75   3   1.78E-16  185.
  CX52    C  . 157.45  321.71  54.11984  -34.9700     27.49   0.067     27.62   0.100     25.50     5035.48   0.75   3   3.21E-17  135.
  CX37    C  . 181.67  301.16  54.11820  -34.9711     27.49   0.081     27.45   0.098     24.95     5034.70   0.75   3   5.33E-17  150.
 CX151    C  . 280.18  246.61  54.11152  -34.9742     27.49   0.096     27.71   0.149     24.52     5038.56   0.75   3   7.94E-17  160.
  CX59    C  . 322.59  273.75  54.10865  -34.9726     27.50   0.064     27.65   0.098     25.66     5039.71   0.75   3   2.77E-17  135.
 CX157    C  . 115.00  166.25  54.12272  -34.9786     27.51   0.060     27.46   0.074     26.06     5042.32   0.75   3   1.93E-17  135.
  CX49    C  . 272.01  285.46  54.11208  -34.9720     27.55   0.089     27.51   0.119     24.82     5039.02   0.75   3   6.03E-17  150.
  CX84    C  . 310.97  153.71  54.10943  -34.9793     27.56   0.075     27.71   0.108     25.25     5042.42   0.75   3   4.05E-17  135.
  CX56    C  . 186.84  136.96  54.11785  -34.9802     27.60   0.093     27.47   0.096     24.91     5042.02   0.75   3   5.55E-17  180.
  CX62    C  . 165.02  271.56  54.11933  -34.9728     27.61   0.089     27.55   0.104     24.99     5035.74   0.75   3   5.13E-17  155.
  CX51    C  . 322.04  330.40  54.10868  -34.9695     27.62   0.075     27.45   0.068     26.04     5039.19   0.75   3   1.96E-17  135.
  CX70    C  . 269.31  294.16  54.11226  -34.9715     27.62   0.097     27.62   0.116     24.88     5040.37   0.75   3   5.70E-17  135.
 CX117    C  . 271.34  268.61  54.11212  -34.9729     27.63   0.103     27.94   0.175     24.60     5040.37   0.75   3   7.39E-17  170.
  CX66    C  . 129.00  308.65  54.12177  -34.9707     27.63   0.070     27.66   0.091     25.89     5035.44   0.75   3   2.26E-17  135.
  CX60    C  . 315.95  283.01  54.10910  -34.9721     27.63   0.075     27.59   0.094     25.59     5035.34   0.75   3   2.98E-17  140.
  CX64    C  . 179.16   75.11  54.11837  -34.9837     27.64   0.078     27.72   0.098     25.68     5037.61   0.75   3   2.73E-17  130.
  CX75    C  . 291.93  347.41  54.11072  -34.9686     27.64   0.083     27.75   0.125     25.75     5035.81   0.75   3   2.56E-17  135.
  CX63    C  . 303.17  213.81  54.10996  -34.9760     27.64   0.095     27.51   0.103     24.95     5037.98   0.75   3   5.36E-17  145.
 CX104    C  . 150.08  224.46  54.12034  -34.9754     27.67   0.089     27.57   0.105     25.17     5036.17   0.75   3   4.37E-17  150.
  CX61    C  . 292.78  175.91  54.11067  -34.9781     27.68   0.141     27.68   0.141     24.76     5031.67   0.75   3   6.39E-17  160.
 CX125    C  . 187.76  211.21  54.11779  -34.9761     27.68   0.134     27.84   0.203     24.14     5040.35   0.75   3   1.13E-16  170.
  CX58    C  . 135.58  185.81  54.12133  -34.9775     27.69   0.080     27.66   0.096     25.59     5041.50   0.75   3   2.97E-17  135.
  CX73    C  .  72.23  182.20  54.12562  -34.9777     27.71   0.064     27.64   0.077     26.65     5039.60   0.75   3   1.12E-17  140.
  CX67    C  . 192.98   69.66  54.11743  -34.9840     27.74   0.083     27.96   0.130     25.57     5031.38   0.75   3   3.02E-17  135.
 CX114    C  . 348.47  287.75  54.10689  -34.9719     27.77   0.081     27.48   0.080     26.17     5037.54   0.75   3   1.74E-17  150.
